$CL|META|providers=cloud|sources=|records=1053
$CL|REC|t=1770000000000|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1770000000100|msg=[2026-06-05 01:01:00,100] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/orders-2026-06-04.csv  ->  /tmp/orders-2026-06-04.csv
$CL|REC|t=1770000000300|msg=[2026-06-05 01:01:00,300] INFO: 校验 CSV 表头 expected=12 actual=12 status=ok
$CL|REC|t=1770000000500|msg=[2026-06-05 01:01:00,500] INFO: 推断 schema: [order_id:str, customer_id:str, sku:str, qty:int, unit_price:decimal, currency:str, region:str, channel:str, status:str, created_at:ts, updated_at:ts, notes:str]
$CL|REC|t=1770000000600|msg=[2026-06-05 01:01:00,600] INFO: 启动批处理进程：python etl_worker.py --input /tmp/orders-2026-06-04.csv --output-prefix s3://sample-batch-processor/parquet/orders/2026-06-05/ --target-format parquet --compression snappy --partition-by region --target-file-size 134217728 --max-concurrency 8 --batch-size 5000 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite --manifest /tmp/orders-2026-06-04.csv.manifest.json
$CL|REC|t=1770000000800|msg=[2026-06-05 01:01:00,800] INFO: [worker stdout] [2026-06-05 01:01:00,800] INFO: 共加载 1024 个 batch，shards: ['shard-0', 'shard-1', 'shard-2', 'shard-3']
$CL|REC|t=1770000010000|msg=[2026-06-05 01:01:20,000] INFO: [worker stdout] [2026-06-05 01:01:20,000] INFO: [进度] 1/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000011650|msg=[2026-06-05 01:01:21,650] INFO: [worker stdout] [2026-06-05 01:01:21,650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00008.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000011800|msg=[2026-06-05 01:01:20,1800] INFO: [worker stdout] [2026-06-05 01:01:20,1800] INFO: [进度] 10/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000011850|msg=[2026-06-05 01:01:21,850] INFO: [worker stdout] [2026-06-05 01:01:21,850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00009.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000012000|msg=[2026-06-05 01:01:20,2000] INFO: [worker stdout] [2026-06-05 01:01:20,2000] INFO: [进度] 11/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000012050|msg=[2026-06-05 01:01:21,1050] INFO: [worker stdout] [2026-06-05 01:01:21,1050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00010.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000012200|msg=[2026-06-05 01:01:20,2200] INFO: [worker stdout] [2026-06-05 01:01:20,2200] INFO: [进度] 12/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000012250|msg=[2026-06-05 01:01:21,1250] INFO: [worker stdout] [2026-06-05 01:01:21,1250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00011.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000012400|msg=[2026-06-05 01:01:20,2400] INFO: [worker stdout] [2026-06-05 01:01:20,2400] INFO: [进度] 13/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000012450|msg=[2026-06-05 01:01:21,1450] INFO: [worker stdout] [2026-06-05 01:01:21,1450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00012.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000012600|msg=[2026-06-05 01:01:20,2600] INFO: [worker stdout] [2026-06-05 01:01:20,2600] INFO: [进度] 14/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000012650|msg=[2026-06-05 01:01:21,1650] INFO: [worker stdout] [2026-06-05 01:01:21,1650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00013.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000012800|msg=[2026-06-05 01:01:20,2800] INFO: [worker stdout] [2026-06-05 01:01:20,2800] INFO: [进度] 15/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000012850|msg=[2026-06-05 01:01:21,1850] INFO: [worker stdout] [2026-06-05 01:01:21,1850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00014.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000013000|msg=[2026-06-05 01:01:20,3000] INFO: [worker stdout] [2026-06-05 01:01:20,3000] INFO: [进度] 16/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000013050|msg=[2026-06-05 01:01:21,2050] INFO: [worker stdout] [2026-06-05 01:01:21,2050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00015.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000013200|msg=[2026-06-05 01:01:20,3200] INFO: [worker stdout] [2026-06-05 01:01:20,3200] INFO: [进度] 17/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000013250|msg=[2026-06-05 01:01:21,2250] INFO: [worker stdout] [2026-06-05 01:01:21,2250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00016.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000013400|msg=[2026-06-05 01:01:20,3400] INFO: [worker stdout] [2026-06-05 01:01:20,3400] INFO: [进度] 18/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000013450|msg=[2026-06-05 01:01:21,2450] INFO: [worker stdout] [2026-06-05 01:01:21,2450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00017.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000013600|msg=[2026-06-05 01:01:20,3600] INFO: [worker stdout] [2026-06-05 01:01:20,3600] INFO: [进度] 19/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000013650|msg=[2026-06-05 01:01:21,2650] INFO: [worker stdout] [2026-06-05 01:01:21,2650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00018.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000013800|msg=[2026-06-05 01:01:20,3800] INFO: [worker stdout] [2026-06-05 01:01:20,3800] INFO: [进度] 20/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000013850|msg=[2026-06-05 01:01:21,2850] INFO: [worker stdout] [2026-06-05 01:01:21,2850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00019.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000014000|msg=[2026-06-05 01:01:20,4000] INFO: [worker stdout] [2026-06-05 01:01:20,4000] INFO: [进度] 21/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000014050|msg=[2026-06-05 01:01:21,3050] INFO: [worker stdout] [2026-06-05 01:01:21,3050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00020.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000014200|msg=[2026-06-05 01:01:20,4200] INFO: [worker stdout] [2026-06-05 01:01:20,4200] INFO: [进度] 22/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000014250|msg=[2026-06-05 01:01:21,3250] INFO: [worker stdout] [2026-06-05 01:01:21,3250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00021.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000014400|msg=[2026-06-05 01:01:20,4400] INFO: [worker stdout] [2026-06-05 01:01:20,4400] INFO: [进度] 23/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000014450|msg=[2026-06-05 01:01:21,3450] INFO: [worker stdout] [2026-06-05 01:01:21,3450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00022.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000014600|msg=[2026-06-05 01:01:20,4600] INFO: [worker stdout] [2026-06-05 01:01:20,4600] INFO: [进度] 24/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000014650|msg=[2026-06-05 01:01:21,3650] INFO: [worker stdout] [2026-06-05 01:01:21,3650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00023.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000014800|msg=[2026-06-05 01:01:20,4800] INFO: [worker stdout] [2026-06-05 01:01:20,4800] INFO: [进度] 25/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000014850|msg=[2026-06-05 01:01:21,3850] INFO: [worker stdout] [2026-06-05 01:01:21,3850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00024.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000015000|msg=[2026-06-05 01:01:20,5000] INFO: [worker stdout] [2026-06-05 01:01:20,5000] INFO: [进度] 26/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000015050|msg=[2026-06-05 01:01:21,4050] INFO: [worker stdout] [2026-06-05 01:01:21,4050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00025.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000015200|msg=[2026-06-05 01:01:20,5200] INFO: [worker stdout] [2026-06-05 01:01:20,5200] INFO: [进度] 27/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000015250|msg=[2026-06-05 01:01:21,4250] INFO: [worker stdout] [2026-06-05 01:01:21,4250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00026.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000015400|msg=[2026-06-05 01:01:20,5400] INFO: [worker stdout] [2026-06-05 01:01:20,5400] INFO: [进度] 28/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000015450|msg=[2026-06-05 01:01:21,4450] INFO: [worker stdout] [2026-06-05 01:01:21,4450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00027.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000015600|msg=[2026-06-05 01:01:20,5600] INFO: [worker stdout] [2026-06-05 01:01:20,5600] INFO: [进度] 29/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000015650|msg=[2026-06-05 01:01:21,4650] INFO: [worker stdout] [2026-06-05 01:01:21,4650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00028.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000015800|msg=[2026-06-05 01:01:20,5800] INFO: [worker stdout] [2026-06-05 01:01:20,5800] INFO: [进度] 30/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000015850|msg=[2026-06-05 01:01:21,4850] INFO: [worker stdout] [2026-06-05 01:01:21,4850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00029.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000016000|msg=[2026-06-05 01:01:20,6000] INFO: [worker stdout] [2026-06-05 01:01:20,6000] INFO: [进度] 31/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000016050|msg=[2026-06-05 01:01:21,5050] INFO: [worker stdout] [2026-06-05 01:01:21,5050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00030.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000016200|msg=[2026-06-05 01:01:20,6200] INFO: [worker stdout] [2026-06-05 01:01:20,6200] INFO: [进度] 32/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000016250|msg=[2026-06-05 01:01:21,5250] INFO: [worker stdout] [2026-06-05 01:01:21,5250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00031.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000016400|msg=[2026-06-05 01:01:20,6400] INFO: [worker stdout] [2026-06-05 01:01:20,6400] INFO: [进度] 33/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000016450|msg=[2026-06-05 01:01:21,5450] INFO: [worker stdout] [2026-06-05 01:01:21,5450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00032.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000016600|msg=[2026-06-05 01:01:20,6600] INFO: [worker stdout] [2026-06-05 01:01:20,6600] INFO: [进度] 34/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000016650|msg=[2026-06-05 01:01:21,5650] INFO: [worker stdout] [2026-06-05 01:01:21,5650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00033.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000016800|msg=[2026-06-05 01:01:20,6800] INFO: [worker stdout] [2026-06-05 01:01:20,6800] INFO: [进度] 35/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000016850|msg=[2026-06-05 01:01:21,5850] INFO: [worker stdout] [2026-06-05 01:01:21,5850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00034.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000017000|msg=[2026-06-05 01:01:20,7000] INFO: [worker stdout] [2026-06-05 01:01:20,7000] INFO: [进度] 36/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000017050|msg=[2026-06-05 01:01:21,6050] INFO: [worker stdout] [2026-06-05 01:01:21,6050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00035.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000017200|msg=[2026-06-05 01:01:20,7200] INFO: [worker stdout] [2026-06-05 01:01:20,7200] INFO: [进度] 37/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000017250|msg=[2026-06-05 01:01:21,6250] INFO: [worker stdout] [2026-06-05 01:01:21,6250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00036.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000017400|msg=[2026-06-05 01:01:20,7400] INFO: [worker stdout] [2026-06-05 01:01:20,7400] INFO: [进度] 38/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000017450|msg=[2026-06-05 01:01:21,6450] INFO: [worker stdout] [2026-06-05 01:01:21,6450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00037.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000017600|msg=[2026-06-05 01:01:20,7600] INFO: [worker stdout] [2026-06-05 01:01:20,7600] INFO: [进度] 39/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000017650|msg=[2026-06-05 01:01:21,6650] INFO: [worker stdout] [2026-06-05 01:01:21,6650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00038.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000017800|msg=[2026-06-05 01:01:20,7800] INFO: [worker stdout] [2026-06-05 01:01:20,7800] INFO: [进度] 40/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000017850|msg=[2026-06-05 01:01:21,6850] INFO: [worker stdout] [2026-06-05 01:01:21,6850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00039.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000018000|msg=[2026-06-05 01:01:20,8000] INFO: [worker stdout] [2026-06-05 01:01:20,8000] INFO: [进度] 41/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000018050|msg=[2026-06-05 01:01:21,7050] INFO: [worker stdout] [2026-06-05 01:01:21,7050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00040.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000018200|msg=[2026-06-05 01:01:20,8200] INFO: [worker stdout] [2026-06-05 01:01:20,8200] INFO: [进度] 42/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000018250|msg=[2026-06-05 01:01:21,7250] INFO: [worker stdout] [2026-06-05 01:01:21,7250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00041.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000018400|msg=[2026-06-05 01:01:20,8400] INFO: [worker stdout] [2026-06-05 01:01:20,8400] INFO: [进度] 43/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000018450|msg=[2026-06-05 01:01:21,7450] INFO: [worker stdout] [2026-06-05 01:01:21,7450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00042.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000018600|msg=[2026-06-05 01:01:20,8600] INFO: [worker stdout] [2026-06-05 01:01:20,8600] INFO: [进度] 44/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000018650|msg=[2026-06-05 01:01:21,7650] INFO: [worker stdout] [2026-06-05 01:01:21,7650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00043.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000018800|msg=[2026-06-05 01:01:20,8800] INFO: [worker stdout] [2026-06-05 01:01:20,8800] INFO: [进度] 45/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000018850|msg=[2026-06-05 01:01:21,7850] INFO: [worker stdout] [2026-06-05 01:01:21,7850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00044.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000019000|msg=[2026-06-05 01:01:20,9000] INFO: [worker stdout] [2026-06-05 01:01:20,9000] INFO: [进度] 46/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000019050|msg=[2026-06-05 01:01:21,8050] INFO: [worker stdout] [2026-06-05 01:01:21,8050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00045.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000019200|msg=[2026-06-05 01:01:20,9200] INFO: [worker stdout] [2026-06-05 01:01:20,9200] INFO: [进度] 47/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000019250|msg=[2026-06-05 01:01:21,8250] INFO: [worker stdout] [2026-06-05 01:01:21,8250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00046.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000019400|msg=[2026-06-05 01:01:20,9400] INFO: [worker stdout] [2026-06-05 01:01:20,9400] INFO: [进度] 48/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000019450|msg=[2026-06-05 01:01:21,8450] INFO: [worker stdout] [2026-06-05 01:01:21,8450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00047.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000019600|msg=[2026-06-05 01:01:20,9600] INFO: [worker stdout] [2026-06-05 01:01:20,9600] INFO: [进度] 49/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000019650|msg=[2026-06-05 01:01:21,8650] INFO: [worker stdout] [2026-06-05 01:01:21,8650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00048.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000019800|msg=[2026-06-05 01:01:20,9800] INFO: [worker stdout] [2026-06-05 01:01:20,9800] INFO: [进度] 50/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000019850|msg=[2026-06-05 01:01:21,8850] INFO: [worker stdout] [2026-06-05 01:01:21,8850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00049.snappy.parquet | engine=pyarrow
