$CL|META|providers=cloud|sources=|records=1625
$CL|REC|t=1775437264228|msg=START RequestId: b2c3d4e5-f6a7-8901-bcde-f23456789012 Version: $LATEST
$CL|REC|t=1775437264238|msg=[2026-04-06 01:01:04,238] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/docs-manifest-2026-04-06.json  ->  /tmp/docs-manifest-2026-04-06.json
$CL|REC|t=1775437264258|msg=[2026-04-06 01:01:04,258] INFO: 加载清单 200 个文档来源，类别: [manual, report, spec, contract, faq]
$CL|REC|t=1775437264278|msg=[2026-04-06 01:01:04,278] INFO: 启动批处理进程：python doc_indexer.py --input /tmp/docs-manifest-2026-04-06.json --output-index sample-search-prod --parser auto --max-concurrency 6 --request-timeout 60 --chunk-size 1024 --chunk-overlap 128 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict upsert
$CL|REC|t=1775437267248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437267308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437267428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 4/200 | shard=shard-0 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437267508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437267648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437267708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437267828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 5/200 | shard=shard-0 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437267908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437268048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437268108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437268228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 6/200 | shard=shard-0 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437268308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437268448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437268508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437268628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 7/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437268708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437268848|msg=[2026-04-06 01:01:07,620] INFO: [worker stdout] [2026-04-06 01:01:07,620] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437268908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437269028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 8/200 | shard=shard-0 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437269108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437269248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437269308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437269428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 9/200 | shard=shard-0 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437269508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437269648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437269708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437269828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 10/200 | shard=shard-0 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437269908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437270048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437270108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437270228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 11/200 | shard=shard-0 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437270308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437270448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437270508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437270628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 12/200 | shard=shard-0 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437270708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437270848|msg=[2026-04-06 01:01:07,620] INFO: [worker stdout] [2026-04-06 01:01:07,620] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437270908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437271028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 13/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437271108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437271248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437271308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437271428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 14/200 | shard=shard-0 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437271508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437271648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437271708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437271828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 15/200 | shard=shard-0 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437271908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437272048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437272108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437272228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 16/200 | shard=shard-0 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437272308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437272448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437272508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437272628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 17/200 | shard=shard-0 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437272708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437272848|msg=[2026-04-06 01:01:07,620] INFO: [worker stdout] [2026-04-06 01:01:07,620] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437272908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437273028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 18/200 | shard=shard-0 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437273108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437273248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437273308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437273428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 19/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437273508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437273648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437273708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437273828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 20/200 | shard=shard-0 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437273908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437274048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437274108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437274228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 21/200 | shard=shard-0 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437274308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437274448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437274508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437274628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 22/200 | shard=shard-0 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437274708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437274848|msg=[2026-04-06 01:01:07,620] INFO: [worker stdout] [2026-04-06 01:01:07,620] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437274908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437275028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 23/200 | shard=shard-0 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437275108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437275248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437275308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437275428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 24/200 | shard=shard-0 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437275508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437275648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437275708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437275828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 25/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437275908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437276048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437276108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437276228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 26/200 | shard=shard-0 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437276308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437276448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437276508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437276628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 27/200 | shard=shard-0 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437276708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437276848|msg=[2026-04-06 01:01:07,620] INFO: [worker stdout] [2026-04-06 01:01:07,620] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437276908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437277028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 28/200 | shard=shard-0 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437277108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437277248|msg=[2026-04-06 01:01:07,020] INFO: [worker stdout] [2026-04-06 01:01:07,020] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437277308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437277428|msg=[2026-04-06 01:01:06,200] INFO: [worker stdout] [2026-04-06 01:01:06,200] INFO: [进度] 29/200 | shard=shard-0 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437277508|msg=[2026-04-06 01:01:07,280] INFO: [worker stdout] [2026-04-06 01:01:07,280] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437277648|msg=[2026-04-06 01:01:07,420] INFO: [worker stdout] [2026-04-06 01:01:07,420] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437277708|msg=[2026-04-06 01:01:07,480] INFO: [worker stdout] [2026-04-06 01:01:07,480] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437277828|msg=[2026-04-06 01:01:06,600] INFO: [worker stdout] [2026-04-06 01:01:06,600] INFO: [进度] 30/200 | shard=shard-0 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437277908|msg=[2026-04-06 01:01:07,680] INFO: [worker stdout] [2026-04-06 01:01:07,680] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437278048|msg=[2026-04-06 01:01:07,820] INFO: [worker stdout] [2026-04-06 01:01:07,820] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437278108|msg=[2026-04-06 01:01:07,880] INFO: [worker stdout] [2026-04-06 01:01:07,880] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437278228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 31/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437278308|msg=[2026-04-06 01:01:07,080] INFO: [worker stdout] [2026-04-06 01:01:07,080] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437278448|msg=[2026-04-06 01:01:07,220] INFO: [worker stdout] [2026-04-06 01:01:07,220] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
