$CL|META|providers=cloud|sources=|records=697
$CL|REC|t=1780621264700|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1780621264710|msg=[2026-06-05 01:01:04,710] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
$CL|REC|t=1780621270400|msg=[2026-06-05 01:01:09,700] INFO: [worker stdout] [2026-06-05 01:01:09,700] INFO: 写入指标 | service=billing-svc | window=2026-06-04T10:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T10:00:00Z.json | engine=duckdb
$CL|REC|t=1780621270550|msg=[2026-06-05 01:01:09,850] INFO: [worker stdout] [2026-06-05 01:01:09,850] INFO: [进度] 12/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T11:00:00Z/PT60S
$CL|REC|t=1780621270630|msg=[2026-06-05 01:01:09,930] INFO: [worker stdout] [2026-06-05 01:01:09,930] INFO: 聚合中 | service=notif-svc | window=2026-06-04T11:00:00Z | count=1517 | p50_ms=73 | p99_ms=257 | err_rate=0.043
$CL|REC|t=1780621270750|msg=[2026-06-05 01:01:10,050] INFO: [worker stdout] [2026-06-05 01:01:10,050] INFO: 写入指标 | service=notif-svc | window=2026-06-04T11:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T11:00:00Z.json | engine=duckdb
$CL|REC|t=1780621270900|msg=[2026-06-05 01:01:10,200] INFO: [worker stdout] [2026-06-05 01:01:10,200] INFO: [进度] 13/112 | shard=shard-0 | service=ingest-svc | window=2026-06-04T12:00:00Z/PT60S
$CL|REC|t=1780621270980|msg=[2026-06-05 01:01:10,280] INFO: [worker stdout] [2026-06-05 01:01:10,280] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T12:00:00Z | count=1564 | p50_ms=76 | p99_ms=264 | err_rate=0.056
$CL|REC|t=1780621271100|msg=[2026-06-05 01:01:10,400] INFO: [worker stdout] [2026-06-05 01:01:10,400] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T12:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T12:00:00Z.json | engine=duckdb
$CL|REC|t=1780621271250|msg=[2026-06-05 01:01:10,550] INFO: [worker stdout] [2026-06-05 01:01:10,550] INFO: [进度] 14/112 | shard=shard-0 | service=report-svc | window=2026-06-04T13:00:00Z/PT60S
$CL|REC|t=1780621271330|msg=[2026-06-05 01:01:10,630] INFO: [worker stdout] [2026-06-05 01:01:10,630] INFO: 聚合中 | service=report-svc | window=2026-06-04T13:00:00Z | count=1611 | p50_ms=79 | p99_ms=271 | err_rate=0.069
$CL|REC|t=1780621271450|msg=[2026-06-05 01:01:10,750] INFO: [worker stdout] [2026-06-05 01:01:10,750] INFO: 写入指标 | service=report-svc | window=2026-06-04T13:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T13:00:00Z.json | engine=duckdb
$CL|REC|t=1780621271600|msg=[2026-06-05 01:01:10,900] INFO: [worker stdout] [2026-06-05 01:01:10,900] INFO: [进度] 15/112 | shard=shard-0 | service=search-svc | window=2026-06-04T14:00:00Z/PT60S
$CL|REC|t=1780621271680|msg=[2026-06-05 01:01:10,980] INFO: [worker stdout] [2026-06-05 01:01:10,980] INFO: 聚合中 | service=search-svc | window=2026-06-04T14:00:00Z | count=1658 | p50_ms=82 | p99_ms=278 | err_rate=0.082
$CL|REC|t=1780621271800|msg=[2026-06-05 01:01:11,100] INFO: [worker stdout] [2026-06-05 01:01:11,100] INFO: 写入指标 | service=search-svc | window=2026-06-04T14:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T14:00:00Z.json | engine=duckdb
$CL|REC|t=1780621271950|msg=[2026-06-05 01:01:11,250] INFO: [worker stdout] [2026-06-05 01:01:11,250] INFO: [进度] 16/112 | shard=shard-0 | service=media-svc | window=2026-06-04T15:00:00Z/PT60S
$CL|REC|t=1780621272030|msg=[2026-06-05 01:01:11,330] INFO: [worker stdout] [2026-06-05 01:01:11,330] INFO: 聚合中 | service=media-svc | window=2026-06-04T15:00:00Z | count=1705 | p50_ms=85 | p99_ms=285 | err_rate=0.095
$CL|REC|t=1780621272150|msg=[2026-06-05 01:01:11,450] INFO: [worker stdout] [2026-06-05 01:01:11,450] INFO: 写入指标 | service=media-svc | window=2026-06-04T15:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T15:00:00Z.json | engine=duckdb
$CL|REC|t=1780621272300|msg=[2026-06-05 01:01:11,600] INFO: [worker stdout] [2026-06-05 01:01:11,600] INFO: [进度] 17/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T16:00:00Z/PT60S
$CL|REC|t=1780621272380|msg=[2026-06-05 01:01:11,680] INFO: [worker stdout] [2026-06-05 01:01:11,680] INFO: 聚合中 | service=api-gateway | window=2026-06-04T16:00:00Z | count=1752 | p50_ms=88 | p99_ms=292 | err_rate=0.008
$CL|REC|t=1780621272500|msg=[2026-06-05 01:01:11,800] INFO: [worker stdout] [2026-06-05 01:01:11,800] INFO: 写入指标 | service=api-gateway | window=2026-06-04T16:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T16:00:00Z.json | engine=duckdb
$CL|REC|t=1780621272650|msg=[2026-06-05 01:01:11,950] INFO: [worker stdout] [2026-06-05 01:01:11,950] INFO: [进度] 18/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T17:00:00Z/PT60S
$CL|REC|t=1780621272730|msg=[2026-06-05 01:01:12,030] INFO: [worker stdout] [2026-06-05 01:01:12,030] INFO: 聚合中 | service=auth-svc | window=2026-06-04T17:00:00Z | count=1799 | p50_ms=91 | p99_ms=299 | err_rate=0.021
$CL|REC|t=1780621272850|msg=[2026-06-05 01:01:12,150] INFO: [worker stdout] [2026-06-05 01:01:12,150] INFO: 写入指标 | service=auth-svc | window=2026-06-04T17:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T17:00:00Z.json | engine=duckdb
$CL|REC|t=1780621273000|msg=[2026-06-05 01:01:12,300] INFO: [worker stdout] [2026-06-05 01:01:12,300] INFO: [进度] 19/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T18:00:00Z/PT60S
$CL|REC|t=1780621273080|msg=[2026-06-05 01:01:12,380] INFO: [worker stdout] [2026-06-05 01:01:12,380] INFO: 聚合中 | service=billing-svc | window=2026-06-04T18:00:00Z | count=1846 | p50_ms=94 | p99_ms=306 | err_rate=0.034
$CL|REC|t=1780621273200|msg=[2026-06-05 01:01:12,500] INFO: [worker stdout] [2026-06-05 01:01:12,500] INFO: 写入指标 | service=billing-svc | window=2026-06-04T18:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T18:00:00Z.json | engine=duckdb
$CL|REC|t=1780621273350|msg=[2026-06-05 01:01:12,650] INFO: [worker stdout] [2026-06-05 01:01:12,650] INFO: [进度] 20/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T19:00:00Z/PT60S
$CL|REC|t=1780621273430|msg=[2026-06-05 01:01:12,730] INFO: [worker stdout] [2026-06-05 01:01:12,730] INFO: 聚合中 | service=notif-svc | window=2026-06-04T19:00:00Z | count=1893 | p50_ms=97 | p99_ms=313 | err_rate=0.047
$CL|REC|t=1780621273550|msg=[2026-06-05 01:01:12,850] INFO: [worker stdout] [2026-06-05 01:01:12,850] INFO: 写入指标 | service=notif-svc | window=2026-06-04T19:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T19:00:00Z.json | engine=duckdb
$CL|REC|t=1780621273700|msg=[2026-06-05 01:01:13,000] INFO: [worker stdout] [2026-06-05 01:01:13,000] INFO: [进度] 21/112 | shard=shard-0 | service=ingest-svc | window=2026-06-04T20:00:00Z/PT60S
$CL|REC|t=1780621273780|msg=[2026-06-05 01:01:13,080] INFO: [worker stdout] [2026-06-05 01:01:13,080] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T20:00:00Z | count=1940 | p50_ms=100 | p99_ms=320 | err_rate=0.060
$CL|REC|t=1780621273900|msg=[2026-06-05 01:01:13,200] INFO: [worker stdout] [2026-06-05 01:01:13,200] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T20:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T20:00:00Z.json | engine=duckdb
$CL|REC|t=1780621274050|msg=[2026-06-05 01:01:13,350] INFO: [worker stdout] [2026-06-05 01:01:13,350] INFO: [进度] 22/112 | shard=shard-0 | service=report-svc | window=2026-06-04T21:00:00Z/PT60S
$CL|REC|t=1780621274130|msg=[2026-06-05 01:01:13,430] INFO: [worker stdout] [2026-06-05 01:01:13,430] INFO: 聚合中 | service=report-svc | window=2026-06-04T21:00:00Z | count=1987 | p50_ms=103 | p99_ms=327 | err_rate=0.073
$CL|REC|t=1780621274250|msg=[2026-06-05 01:01:13,550] INFO: [worker stdout] [2026-06-05 01:01:13,550] INFO: 写入指标 | service=report-svc | window=2026-06-04T21:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T21:00:00Z.json | engine=duckdb
$CL|REC|t=1780621274400|msg=[2026-06-05 01:01:13,700] INFO: [worker stdout] [2026-06-05 01:01:13,700] INFO: [进度] 23/112 | shard=shard-0 | service=search-svc | window=2026-06-04T22:00:00Z/PT60S
$CL|REC|t=1780621274480|msg=[2026-06-05 01:01:13,780] INFO: [worker stdout] [2026-06-05 01:01:13,780] INFO: 聚合中 | service=search-svc | window=2026-06-04T22:00:00Z | count=2034 | p50_ms=106 | p99_ms=334 | err_rate=0.086
$CL|REC|t=1780621274600|msg=[2026-06-05 01:01:13,900] INFO: [worker stdout] [2026-06-05 01:01:13,900] INFO: 写入指标 | service=search-svc | window=2026-06-04T22:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T22:00:00Z.json | engine=duckdb
$CL|REC|t=1780621274750|msg=[2026-06-05 01:01:14,050] INFO: [worker stdout] [2026-06-05 01:01:14,050] INFO: [进度] 24/112 | shard=shard-0 | service=media-svc | window=2026-06-04T23:00:00Z/PT60S
$CL|REC|t=1780621274830|msg=[2026-06-05 01:01:14,130] INFO: [worker stdout] [2026-06-05 01:01:14,130] INFO: 聚合中 | service=media-svc | window=2026-06-04T23:00:00Z | count=2081 | p50_ms=109 | p99_ms=341 | err_rate=0.099
$CL|REC|t=1780621274950|msg=[2026-06-05 01:01:14,250] INFO: [worker stdout] [2026-06-05 01:01:14,250] INFO: 写入指标 | service=media-svc | window=2026-06-04T23:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T23:00:00Z.json | engine=duckdb
$CL|REC|t=1780621275100|msg=[2026-06-05 01:01:14,400] INFO: [worker stdout] [2026-06-05 01:01:14,400] INFO: [进度] 25/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
$CL|REC|t=1780621275180|msg=[2026-06-05 01:01:14,480] INFO: [worker stdout] [2026-06-05 01:01:14,480] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=2128 | p50_ms=112 | p99_ms=348 | err_rate=0.012
$CL|REC|t=1780621275300|msg=[2026-06-05 01:01:14,600] INFO: [worker stdout] [2026-06-05 01:01:14,600] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
$CL|REC|t=1780621275450|msg=[2026-06-05 01:01:14,750] INFO: [worker stdout] [2026-06-05 01:01:14,750] INFO: [进度] 26/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
$CL|REC|t=1780621275530|msg=[2026-06-05 01:01:14,830] INFO: [worker stdout] [2026-06-05 01:01:14,830] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=2175 | p50_ms=115 | p99_ms=355 | err_rate=0.025
$CL|REC|t=1780621275650|msg=[2026-06-05 01:01:14,950] INFO: [worker stdout] [2026-06-05 01:01:14,950] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
$CL|REC|t=1780621275800|msg=[2026-06-05 01:01:15,100] INFO: [worker stdout] [2026-06-05 01:01:15,100] INFO: [进度] 27/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
$CL|REC|t=1780621275880|msg=[2026-06-05 01:01:15,180] INFO: [worker stdout] [2026-06-05 01:01:15,180] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=2222 | p50_ms=118 | p99_ms=362 | err_rate=0.038
$CL|REC|t=1780621276000|msg=[2026-06-05 01:01:15,300] INFO: [worker stdout] [2026-06-05 01:01:15,300] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
$CL|REC|t=1780621276150|msg=[2026-06-05 01:01:15,450] INFO: [worker stdout] [2026-06-05 01:01:15,450] INFO: [进度] 28/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
$CL|REC|t=1780621276230|msg=[2026-06-05 01:01:15,530] INFO: [worker stdout] [2026-06-05 01:01:15,530] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=2269 | p50_ms=121 | p99_ms=369 | err_rate=0.051
$CL|REC|t=1780621276350|msg=[2026-06-05 01:01:15,650] INFO: [worker stdout] [2026-06-05 01:01:15,650] INFO: 写入指标 | service=notif-svc | window=2026-06-04T03:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T03:00:00Z.json | engine=duckdb
$CL|REC|t=1780621296700|msg=[2026-06-05 01:01:14,000] INFO: [worker stdout] [2026-06-05 01:01:14,000] INFO: [进度] 29/112 | shard=shard-1 | service=ingest-svc | window=2026-06-04T04:00:00Z/PT60S
$CL|REC|t=1780621296780|msg=[2026-06-05 01:01:14,080] INFO: [worker stdout] [2026-06-05 01:01:14,080] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T04:00:00Z | count=2316 | p50_ms=124 | p99_ms=376 | err_rate=0.064
$CL|REC|t=1780621296900|msg=[2026-06-05 01:01:14,200] INFO: [worker stdout] [2026-06-05 01:01:14,200] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T04:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json | engine=duckdb
$CL|REC|t=1780621297050|msg=[2026-06-05 01:01:14,350] INFO: [worker stdout] [2026-06-05 01:01:14,350] INFO: [进度] 30/112 | shard=shard-1 | service=report-svc | window=2026-06-04T05:00:00Z/PT60S
$CL|REC|t=1780621297130|msg=[2026-06-05 01:01:14,430] INFO: [worker stdout] [2026-06-05 01:01:14,430] INFO: 聚合中 | service=report-svc | window=2026-06-04T05:00:00Z | count=2363 | p50_ms=127 | p99_ms=383 | err_rate=0.077
$CL|REC|t=1780621297250|msg=[2026-06-05 01:01:14,550] INFO: [worker stdout] [2026-06-05 01:01:14,550] INFO: 写入指标 | service=report-svc | window=2026-06-04T05:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T05:00:00Z.json | engine=duckdb
$CL|REC|t=1780621297400|msg=[2026-06-05 01:01:14,700] INFO: [worker stdout] [2026-06-05 01:01:14,700] INFO: [进度] 31/112 | shard=shard-1 | service=search-svc | window=2026-06-04T06:00:00Z/PT60S
$CL|REC|t=1780621297480|msg=[2026-06-05 01:01:14,780] INFO: [worker stdout] [2026-06-05 01:01:14,780] INFO: 聚合中 | service=search-svc | window=2026-06-04T06:00:00Z | count=2410 | p50_ms=130 | p99_ms=390 | err_rate=0.090
$CL|REC|t=1780621297600|msg=[2026-06-05 01:01:14,900] INFO: [worker stdout] [2026-06-05 01:01:14,900] INFO: 写入指标 | service=search-svc | window=2026-06-04T06:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T06:00:00Z.json | engine=duckdb
$CL|REC|t=1780621297750|msg=[2026-06-05 01:01:15,050] INFO: [worker stdout] [2026-06-05 01:01:15,050] INFO: [进度] 32/112 | shard=shard-1 | service=media-svc | window=2026-06-04T07:00:00Z/PT60S
$CL|REC|t=1780621297830|msg=[2026-06-05 01:01:15,130] INFO: [worker stdout] [2026-06-05 01:01:15,130] INFO: 聚合中 | service=media-svc | window=2026-06-04T07:00:00Z | count=2457 | p50_ms=133 | p99_ms=397 | err_rate=0.003
$CL|REC|t=1780621297950|msg=[2026-06-05 01:01:15,250] INFO: [worker stdout] [2026-06-05 01:01:15,250] INFO: 写入指标 | service=media-svc | window=2026-06-04T07:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T07:00:00Z.json | engine=duckdb
$CL|REC|t=1780621298100|msg=[2026-06-05 01:01:15,400] INFO: [worker stdout] [2026-06-05 01:01:15,400] INFO: [进度] 33/112 | shard=shard-1 | service=api-gateway | window=2026-06-04T08:00:00Z/PT60S
$CL|REC|t=1780621298180|msg=[2026-06-05 01:01:15,480] INFO: [worker stdout] [2026-06-05 01:01:15,480] INFO: 聚合中 | service=api-gateway | window=2026-06-04T08:00:00Z | count=2504 | p50_ms=136 | p99_ms=404 | err_rate=0.016
$CL|REC|t=1780621298300|msg=[2026-06-05 01:01:15,600] INFO: [worker stdout] [2026-06-05 01:01:15,600] INFO: 写入指标 | service=api-gateway | window=2026-06-04T08:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T08:00:00Z.json | engine=duckdb
$CL|REC|t=1780621298450|msg=[2026-06-05 01:01:15,750] INFO: [worker stdout] [2026-06-05 01:01:15,750] INFO: [进度] 34/112 | shard=shard-1 | service=auth-svc | window=2026-06-04T09:00:00Z/PT60S
